FIPS,County name,FiveYearAgeGroups,NetMig9500,NetMig0010,NetMig1020,Rate9500,Rate0010,Rate1020
9,Baca,80,7,47,-17,0.04375,0.333333333,-0.135618712
9,Baca,85,63,47,-9,0.692307692,0.3671875,-0.097900844
11,Bent,0,0,-17,20,0,-0.059649123,0.063833728
11,Bent,5,-73,-15,69,-0.20505618,-0.051194539,0.281091405
11,Bent,10,49,-18,31,0.114219114,-0.055555556,0.108874018
11,Bent,15,57,-58,2,0.131639723,-0.202797203,0.007518413
11,Bent,20,94,68,155,0.234413965,0.148148148,0.37134339
11,Bent,25,158,210,228,0.404092072,0.357751278,0.487475745
11,Bent,30,137,132,170,0.339950372,0.26035503,0.327406123
11,Bent,35,155,150,11,0.323590814,0.285714286,0.019551828
11,Bent,40,44,143,-69,0.094623656,0.280392157,-0.16520585
11,Bent,45,42,120,-102,0.101449275,0.220183486,-0.262006457
11,Bent,50,71,104,-160,0.18537859,0.213552361,-0.480817051
11,Bent,55,40,115,-86,0.145454545,0.269320843,-0.211557542
11,Bent,60,-24,123,-28,-0.103896104,0.312182741,-0.068062528
11,Bent,65,46,103,-37,0.167272727,0.384328358,-0.108206737
11,Bent,70,39,106,-60,0.178899083,0.517073171,-0.210601573
11,Bent,75,7,47,-34,0.033333333,0.259668508,-0.179994842
11,Bent,80,13,37,-28,0.094890511,0.313559322,-0.214829044
11,Bent,85,51,16,-7,0.62962963,0.188235294,-0.076400773
13,Boulder,0,0,-110,328,0,-0.006704455,0.021049509
13,Boulder,5,869,-144,2169,0.050896099,-0.007945704,0.127471572
13,Boulder,10,-243,1284,3491,-0.013596688,0.072391047,0.175203327
13,Boulder,15,3361,4664,8109,0.15128736,0.211327594,0.302293849
13,Boulder,20,7448,12200,15835,0.291735213,0.404254614,0.460063314
13,Boulder,25,-2375,-662,-1763,-0.103856918,-0.032474859,-0.083789683
13,Boulder,30,-599,-7570,-10882,-0.026661325,-0.392634855,-0.567974269
13,Boulder,35,22,-2965,545,0.000985001,-0.147784479,0.025840446
13,Boulder,40,225,-714,2266,0.00920735,-0.034058386,0.104658455
13,Boulder,45,-539,-1087,2772,-0.023123123,-0.049499089,0.123341893
13,Boulder,50,-461,-1786,1496,-0.023498828,-0.079124579,0.065756421
13,Boulder,55,-541,-2283,1763,-0.043579829,-0.113644283,0.077043432
13,Boulder,60,-751,-2007,341,-0.089607445,-0.125941265,0.015249732
13,Boulder,65,-222,-998,-513,-0.036233067,-0.098218679,-0.027167144
13,Boulder,70,-114,-348,-1134,-0.022718214,-0.051048848,-0.079837289
13,Boulder,75,115,-135,-490,0.027724204,-0.027043269,-0.056965832
13,Boulder,80,143,283,-43,0.047858099,0.07459146,-0.008251351
13,Boulder,85,403,544,99,0.224013341,0.21192053,0.031766963
14,Broomfield,0,0,420,7,0,0.107334526,0.001672857
14,Broomfield,5,800,2048,466,0.251889169,0.467259868,0.111063573
14,Broomfield,10,885.5,1101,976,0.270629584,0.271918992,0.191211257
14,Broomfield,15,2441.5,375,688,0.853372947,0.105071449,0.125888666
14,Broomfield,20,2700,-138,753,1.400414938,-0.044718082,0.142783566
14,Broomfield,25,3144,952,993,1.220970874,0.26060772,0.184507787
14,Broomfield,30,2552.5,2174,1508,0.762623245,0.528696498,0.291191625
14,Broomfield,35,1725.5,1909,1263,0.456844056,0.427930957,0.232228576
14,Broomfield,40,1277.5,1372,983,0.328913491,0.302669314,0.179084638
14,Broomfield,45,217,683,870,0.069595895,0.152557516,0.160437208
14,Broomfield,50,335.5,420,322,0.131208447,0.100502513,0.062923838
14,Broomfield,55,49.5,447,352,0.032956059,0.131586694,0.073615999
14,Broomfield,60,-447,433,101,-0.432301741,0.158433955,0.023984895
14,Broomfield,65,-221.5,564,-65,-0.263376932,0.307189542,-0.019997938
14,Broomfield,70,-27.5,511,-115,-0.037722908,0.397047397,-0.042942821
14,Broomfield,75,28,403,-46,0.055555556,0.398615232,-0.0261409
14,Broomfield,80,184.5,343,41,0.629692833,0.44895288,0.037132709
14,Broomfield,85,470,247,30,3.884297521,0.558823529,0.041805971
15,Chaffee,0,0,65,105,0,0.086092715,0.117853129
15,Chaffee,5,96,106,320,0.114695341,0.128329298,0.32562786
15,Chaffee,10,79,99,333,0.080530071,0.121323529,0.319362061
15,Chaffee,15,-125,83,305,-0.124131082,0.091611479,0.30819124
15,Chaffee,20,-169,-126,582,-0.1834962,-0.154791155,0.462954481
15,Chaffee,25,196,126,415,0.194444444,0.118309859,0.322689416
15,Chaffee,30,144,164,331,0.151578947,0.162055336,0.320492136
15,Chaffee,35,221,62,469,0.176517572,0.06132542,0.336340555
15,Chaffee,40,150,250,227,0.111441308,0.222222222,0.182065068
15,Chaffee,45,100,191,232,0.072992701,0.142964072,0.200638048
15,Chaffee,50,187,258,135,0.147476341,0.174206617,0.109038852
15,Chaffee,55,116,379,170,0.113391984,0.235990037,0.12189933
15,Chaffee,60,94,394,110,0.10994152,0.25819135,0.073555799
15,Chaffee,65,94,327,79,0.111506524,0.270695364,0.05023386
15,Chaffee,70,-16,132,-13,-0.020860495,0.160388821,-0.009338838
15,Chaffee,75,-69,-12,-5,-0.124324324,-0.018292683,-0.004960518
15,Chaffee,80,-87,-95,10,-0.258928571,-0.204301075,0.016458375
15,Chaffee,85,-7,-9,-1,-0.037837838,-0.032490975,-0.002626991
17,Cheyenne,0,0,15,10,0,0.11627907,0.091327238
17,Cheyenne,5,-59,12,27,-0.395973154,0.102564103,0.180009366
17,Cheyenne,10,-20,-25,30,-0.091743119,-0.227272727,0.21377875
17,Cheyenne,15,-41,-6,2,-0.21025641,-0.046153846,0.018338962
17,Cheyenne,20,-40,-121,-3,-0.454545455,-1.680555556,-0.036691549
17,Cheyenne,25,-17,-70,-15,-0.186813187,-0.673076923,-0.157511817
17,Cheyenne,30,-26,14,49,-0.240740741,0.141414141,0.709058723
17,Cheyenne,35,-18,4,46,-0.093264249,0.044444444,0.410456887
17,Cheyenne,40,-17,9,28,-0.090909091,0.090909091,0.255591829
17,Cheyenne,45,-45,-20,31,-0.251396648,-0.14084507,0.316257479
17,Cheyenne,50,-19,-15,19,-0.147286822,-0.110294118,0.179613229
17,Cheyenne,55,-34,18,16,-0.390804598,0.118421053,0.109483105
17,Cheyenne,60,3,39,11,0.0375,0.351351351,0.082526429
17,Cheyenne,65,-15,55,-7,-0.1875,0.763888889,-0.050063658
17,Cheyenne,70,-11,77,-13,-0.129411765,1.040540541,-0.14599566
17,Cheyenne,75,-12,61,3,-0.142857143,1.270833333,0.057572324
17,Cheyenne,80,11,69,-9,0.183333333,1.210526316,-0.190177372
17,Cheyenne,85,13,72,8,0.351351351,1.846153846,0.322705959
19,Clear Creek,0,0,-4,31,0,-0.009070295,0.061975683
19,Clear Creek,5,-107,-85,100,-0.183848797,-0.204819277,0.219860839
19,Clear Creek,10,55,-111,106,0.094501718,-0.268765133,0.195515252
19,Clear Creek,15,-37,-114,58,-0.064347826,-0.252771619,0.119338481
19,Clear Creek,20,-313,-274,16,-0.8767507,-0.982078853,0.036972214
19,Clear Creek,25,-60,-138,20,-0.127659574,-0.339066339,0.041302759
19,Clear Creek,30,-165,209,185,-0.25621118,0.404255319,0.444335263
19,Clear Creek,35,11,210,132,0.012557078,0.336538462,0.244318363
19,Clear Creek,40,-159,123,129,-0.152007648,0.172510519,0.208766671
19,Clear Creek,45,62,8,107,0.055555556,0.009673519,0.154274092
19,Clear Creek,50,-213,69,9,-0.230519481,0.066925315,0.012155673
19,Clear Creek,55,-56,5,21,-0.093333333,0.004950495,0.026457924
19,Clear Creek,60,-34,26,-62,-0.085427136,0.031941032,-0.068886432
19,Clear Creek,65,-21,44,-162,-0.0875,0.085603113,-0.202519755
19,Clear Creek,70,-97,-8,-177,-0.557471264,-0.027972028,-0.292572358
19,Clear Creek,75,-35,45,-129,-0.286885246,0.251396648,-0.353372533
19,Clear Creek,80,-42,38,-53,-0.56,0.422222222,-0.272756943
19,Clear Creek,85,3,48,-15,0.096774194,1.021276596,-0.135274016
21,Conejos,0,0,48,20,0,0.073732719,0.0341164
21,Conejos,5,62,51,90,0.088319088,0.082390953,0.149750023
21,Conejos,10,111,27,65,0.134872418,0.040298507,0.097533981
21,Conejos,15,-103,-26,-40,-0.133766234,-0.039755352,-0.073600056
21,Conejos,20,-220,-318,-166,-0.484581498,-0.709821429,-0.354956874
21,Conejos,25,-63,-274,-122,-0.151079137,-0.637209302,-0.266174366
21,Conejos,30,4,7,36,0.009009009,0.017199017,0.094313506
21,Conejos,35,-36,60,92,-0.066543438,0.142517815,0.218375775
21,Conejos,40,23,84,80,0.0395189,0.179487179,0.19446511
21,Conejos,45,19,93,60,0.032367973,0.166965889,0.141649126
21,Conejos,50,20,100,42,0.043290043,0.167785235,0.089545397
21,Conejos,55,-12,104,50,-0.034985423,0.171334432,0.091381568
21,Conejos,60,1,133,3,0.00273224,0.267605634,0.005375586
21,Conejos,65,-12,129,-41,-0.031413613,0.35734072,-0.076553821
21,Conejos,70,2,69,-44,0.006289308,0.219047619,-0.108090838
21,Conejos,75,-13,30,-26,-0.053719008,0.111111111,-0.093330951
21,Conejos,80,1,7,-20,0.005882353,0.043209877,-0.092870602
21,Conejos,85,-29,19,-27,-0.292929293,0.193877551,-0.180787292
23,Costilla,0,0,25,18,0,0.145348837,0.094399851
23,Costilla,5,2,6,41,0.008333333,0.029850746,0.21745299
23,Costilla,10,-3,0,57,-0.01010101,0,0.270843184
23,Costilla,15,-53,14,6,-0.201520913,0.057377049,0.029605575
23,Costilla,20,-94,-120,-16,-0.61038961,-0.827586207,-0.096024334
23,Costilla,25,-43,-93,-17,-0.279220779,-0.669064748,-0.08245536
23,Costilla,30,-44,19,57,-0.237837838,0.129251701,0.317763326
23,Costilla,35,-27,35,87,-0.114893617,0.239726027,0.454107044
23,Costilla,40,19,61,43,0.066666667,0.326203209,0.223870911
23,Costilla,45,55,78,50,0.180327869,0.327731092,0.282130246
23,Costilla,50,40,102,35,0.153846154,0.342281879,0.168720455
23,Costilla,55,56,84,23,0.21875,0.281879195,0.093183317
23,Costilla,60,6,148,20,0.02764977,0.482084691,0.069143707
23,Costilla,65,12,136,-13,0.060301508,0.456375839,-0.047857155
23,Costilla,70,-33,82,-5,-0.204968944,0.384976526,-0.018932643
23,Costilla,75,-39,41,-39,-0.32231405,0.286713287,-0.169890397
23,Costilla,80,-19,60,-12,-0.234567901,0.612244898,-0.082804481
23,Costilla,85,1,67,-18,0.027777778,1.367346939,-0.2259771
25,Crowley,0,0,11,9,0,0.058823529,0.042030084
25,Crowley,5,31,-2,15,0.116541353,-0.009478673,0.066450813
25,Crowley,10,-8,40,-6,-0.028673835,0.162601626,-0.029881136
25,Crowley,15,-56,18,-3,-0.181229773,0.069767442,-0.015318154
25,Crowley,20,184,221,173,0.473007712,0.469214437,0.454372166
25,Crowley,25,299,331,284,0.720481928,0.541734861,0.480892009
25,Crowley,30,204,207,89,0.407185629,0.365079365,0.14570248
25,Crowley,35,254,142,-44,0.428330523,0.284,-0.073597738
25,Crowley,40,184,50,-84,0.349809886,0.101214575,-0.153907212
25,Crowley,45,163,38,6,0.415816327,0.068716094,0.01200381
25,Crowley,50,171,17,-127,0.518181818,0.037694013,-0.333745765
25,Crowley,55,77,100,-109,0.361502347,0.259067358,-0.292279992
25,Crowley,60,-1,66,-94,-0.007194245,0.229166667,-0.272173639
25,Crowley,65,7,110,-102,0.048611111,0.497737557,-0.433099552
25,Crowley,70,54,110,-57,0.364864865,0.785714286,-0.291649445
25,Crowley,75,9,64,-28,0.081818182,0.64,-0.186095591
25,Crowley,80,0,68,-16,0,0.764044944,-0.164034437
25,Crowley,85,9,58,7,0.166666667,1.137254902,0.122664956
27,Custer,0,0,28,29,0,0.205882353,0.159194602
27,Custer,5,70,49,101,0.336538462,0.264864865,0.5126868
27,Custer,10,82,53,115,0.35042735,0.222689076,0.544255328
27,Custer,15,-39,25,95,-0.189320388,0.114155251,0.390163187
27,Custer,20,-36,-130,54,-0.342857143,-1.529411765,0.205391932
27,Custer,25,28,-62,83,0.277227723,-0.492063492,0.300608473
27,Custer,30,63,71,193,0.428571429,0.446540881,0.908038865
27,Custer,35,56,95,176,0.220472441,0.516304348,0.728170683
27,Custer,40,125,94,115,0.394321767,0.433179724,0.468967682
27,Custer,45,97,62,96,0.264305177,0.231343284,0.396291475
27,Custer,50,52,170,42,0.153846154,0.395348837,0.16682111
